x,n,m,delta,sorting_async,server_async,client_async,sorting_nonblock,server_nonblock,client_nonblock,sorting_threaded,server_threaded,client_threaded
15,1000,3,0,0,1,37,6,8,366,7,9,562
15,1000,3,300,2,2,4258,0,0,4229,2,3,4333
15,1000,3,600,2,2,8476,0,0,8423,2,3,8524
15,1000,3,900,2,2,12671,0,0,12622,2,2,12691
15,1000,3,1200,2,3,16878,0,0,16828,3,3,16888
15,1000,3,1500,2,2,21073,0,0,21023,2,3,21095
15,1000,3,1800,2,2,25270,0,0,25222,2,2,25287
15,1000,3,2100,2,2,29473,0,0,29427,2,3,29481
15,1000,3,2400,2,3,33684,0,0,33624,2,3,33692
15,1000,3,2700,"","","",0,0,37824,2,3,37878
15,1000,3,3000,"","","",0,0,42024,2,2,42071
